Source,Target,Type,Weight
167,168,undirected,2
167,36,undirected,3
168,167,undirected,4
168,126,undirected,1
36,168,undirected,2
36,167,undirected,2
57,36,undirected,1
57,31,undirected,7
57,126,undirected,6
57,16,undirected,3
57,19,undirected,2
57,12,undirected,10
57,161,undirected,46
57,51,undirected,4
57,9,undirected,10
57,40,undirected,20
57,58,undirected,12
57,23,undirected,45
57,2,undirected,31
57,136,undirected,106
57,119,undirected,1
57,80,undirected,15
57,54,undirected,23
57,144,undirected,1
57,115,undirected,1
57,21,undirected,4
57,38,undirected,5
57,32,undirected,2
57,111,undirected,14
57,158,undirected,1
57,171,undirected,88
57,114,undirected,3
57,76,undirected,3
57,156,undirected,59
57,86,undirected,38
57,106,undirected,8
57,151,undirected,12
57,56,undirected,1
57,147,undirected,1
57,52,undirected,16
57,27,undirected,13
57,103,undirected,1
57,104,undirected,6
57,60,undirected,1
57,137,undirected,1
57,25,undirected,38
57,146,undirected,31
57,42,undirected,1
57,93,undirected,19
57,138,undirected,68
57,139,undirected,1
57,117,undirected,6
57,72,undirected,6
57,61,undirected,7
57,153,undirected,1
57,17,undirected,1
57,18,undirected,2
57,78,undirected,9
57,128,undirected,8
57,47,undirected,1
57,75,undirected,3
57,96,undirected,6
57,162,undirected,2
57,37,undirected,5
57,152,undirected,2
57,13,undirected,10
57,20,undirected,3
57,35,undirected,1
141,57,undirected,1
141,138,undirected,26
141,20,undirected,1
141,9,undirected,2
141,31,undirected,1
141,164,undirected,1
141,161,undirected,1
138,141,undirected,24
138,9,undirected,61
138,164,undirected,1
138,19,undirected,4
138,20,undirected,32
138,51,undirected,1
138,23,undirected,3
138,137,undirected,9
138,55,undirected,35
138,127,undirected,3
138,31,undirected,8
138,75,undirected,124
138,122,undirected,1
138,148,undirected,1
138,39,undirected,4
138,11,undirected,1
138,173,undirected,1
138,161,undirected,34
138,144,undirected,38
138,94,undirected,1
138,151,undirected,28
138,158,undirected,2
138,171,undirected,1
138,25,undirected,10
138,74,undirected,5
138,103,undirected,11
138,87,undirected,23
138,126,undirected,1
138,57,undirected,70
138,106,undirected,1
138,143,undirected,7
138,79,undirected,27
138,129,undirected,16
138,102,undirected,1
138,6,undirected,3
138,117,undirected,17
138,17,undirected,16
138,108,undirected,2
138,131,undirected,6
138,98,undirected,14
138,80,undirected,1
138,83,undirected,1
138,27,undirected,1
138,156,undirected,3
138,64,undirected,1
138,78,undirected,2
138,128,undirected,1
138,172,undirected,5
138,16,undirected,14
31,141,undirected,4
31,130,undirected,2
31,19,undirected,19
31,168,undirected,1
31,57,undirected,7
31,16,undirected,6
31,151,undirected,2
31,9,undirected,31
31,127,undirected,55
31,138,undirected,8
31,20,undirected,26
31,12,undirected,4
31,51,undirected,13
31,126,undirected,1
31,82,undirected,2
31,59,undirected,11
31,162,undirected,31
31,75,undirected,40
31,39,undirected,21
31,122,undirected,6
31,52,undirected,4
31,37,undirected,5
31,161,undirected,2
31,11,undirected,10
