Column1,Season,Episode,Sentence,Name,Allegiance ,N_serie,N_Season,Emision Date
1,Season 1,winter is coming,"What d’you expect? They’re savages One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces",Waymar Royce,Night's Watch,1,1,17/04/2011
2,Season 1,winter is coming,"I’ve never seen wildlings do a thing like this I’ve never seen a thing like this, not ever in my life",Will,Night's Watch,1,1,17/04/2011
3,Season 1,winter is coming,How close did you get?,Waymar Royce,Night's Watch,1,1,17/04/2011
4,Season 1,winter is coming,Close as any man would,Will,Night's Watch,1,1,17/04/2011
5,Season 1,winter is coming,We should head back to the wall,Gared,Night's Watch,1,1,17/04/2011
6,Season 1,winter is coming,Do the dead frighten you?,Waymar Royce,Night's Watch,1,1,17/04/2011
7,Season 1,winter is coming,Our orders were to track the wildlings We tracked them They won’t trouble us no more,Gared,Night's Watch,1,1,17/04/2011
8,Season 1,winter is coming,You don’t think he’ll ask us how they died? Get back on your horse,Waymar Royce,Night's Watch,1,1,17/04/2011
9,Season 1,winter is coming,Whatever did it to them could do it to us They even killed the children,Will,Night's Watch,1,1,17/04/2011
10,Season 1,winter is coming,"It’s a good thing we’re not children You want to run away south, run away Of course, they will behead you as a deserter If I don’t catch you first Get back on your horse I won’t say it again",Waymar Royce,Night's Watch,1,1,17/04/2011
11,Season 1,winter is coming,Your dead men seem to have moved camp,Waymar Royce,Night's Watch,1,1,17/04/2011
12,Season 1,winter is coming,They were here,Will,Night's Watch,1,1,17/04/2011
13,Season 1,winter is coming,See where they went,Gared,Night's Watch,1,1,17/04/2011
14,Season 1,winter is coming,What is it?,Waymar Royce,Night's Watch,1,1,17/04/2011
15,Season 1,winter is coming,It’s,Gared,Night's Watch,1,1,17/04/2011
16,Season 1,winter is coming,Go on Father’s watching,Jon Snow,House Stark,1,1,17/04/2011
17,Season 1,winter is coming,And your mother,Jon Snow,House Stark,1,1,17/04/2011
18,Season 1,winter is coming,"Fine work, as always Well done",Septa Mordane,House Stark,1,1,17/04/2011
19,Season 1,winter is coming,Thank you,Sansa Stark,House Stark,1,1,17/04/2011
20,Season 1,winter is coming,I love the detail that you’ve managed to get in this corners Quite beautiful the stitching,Septa Mordane,House Stark,1,1,17/04/2011
21,Season 1,winter is coming,"And which one of you was a marksman at ten? Keep practicing, Bran Go on",Eddard Stark,House Stark,1,1,17/04/2011
22,Season 1,winter is coming,"Don’t think too much, Bran",Jon Snow,House Stark,1,1,17/04/2011
23,Season 1,winter is coming,Relax your bow arm JON,Robb Stark,House Stark,1,1,17/04/2011
24,Season 1,winter is coming,"Quick, Bran, faster",Robb Stark,House Stark,1,1,17/04/2011
25,Season 1,winter is coming,Lord Stark My lady A guardsman just rode in from the hills They’ve captured a deserter from the Night’s Watch,Rodrick Cassell,House Stark,1,1,17/04/2011
26,Season 1,winter is coming,Get the lads to saddle their horses,Eddard Stark,House Stark,1,1,17/04/2011
27,Season 1,winter is coming,Do you have to?,Catelyn Stark,House Stark,1,1,17/04/2011
28,Season 1,winter is coming,"He swore an oath, Cat",Eddard Stark,House Stark,1,1,17/04/2011
29,Season 1,winter is coming,"The law is law, my lady",Rodrick Cassell,House Stark,1,1,17/04/2011
30,Season 1,winter is coming,"Tell Bran he’s coming, too",Eddard Stark,House Stark,1,1,17/04/2011
31,Season 1,winter is coming,Ned Ten is too young to see such things,Catelyn Stark,House Stark,1,1,17/04/2011
32,Season 1,winter is coming,He won’t be a boy forever And winter is coming,Eddard Stark,House Stark,1,1,17/04/2011
33,Season 1,winter is coming,"Lad, go run back and get the rest",Robb Stark,House Stark,1,1,17/04/2011
34,Season 1,winter is coming,"White Walkers I saw the White Walkers White Walkers The White Walkers, I saw them",Will,Night's Watch,1,1,17/04/2011
35,Season 1,winter is coming,"I know I broke my oath And I know I’m a deserter I should have gone back to the Wall and warned them But I saw what I saw I saw the White Walkers People need to know If you can get word to my family, tell them I’m no coward Tell them I’m sorry",Will,Night's Watch,1,1,17/04/2011
36,Season 1,winter is coming,"Forgive me, lord",Will,Night's Watch,1,1,17/04/2011
37,Season 1,winter is coming,"In the name of Robert of the House Baratheon, first of his name",Eddard Stark,,1,1,17/04/2011
38,Season 1,winter is coming,Don’t look away,Jon Snow,House Stark,1,1,17/04/2011
39,Season 1,winter is coming,King of the Andals and the First Men,Eddard Stark,,1,1,17/04/2011
40,Season 1,winter is coming,Father will know if you do,Jon Snow,House Stark,1,1,17/04/2011
41,Season 1,winter is coming,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die",Eddard Stark,House Stark,1,1,17/04/2011
42,Season 1,winter is coming,You did well,Jon Snow,House Stark,1,1,17/04/2011
43,Season 1,winter is coming,You understand why I did it?,Eddard Stark,House Stark,1,1,17/04/2011
44,Season 1,winter is coming,Jon said he was a deserter,Bran Stark,House Stark,1,1,17/04/2011
45,Season 1,winter is coming,But do you understand why I had to kill him?,Eddard Stark,House Stark,1,1,17/04/2011
46,Season 1,winter is coming,Our way is the old way?,Bran Stark,House Stark,1,1,17/04/2011
47,Season 1,winter is coming,The man who passes the sentence should swing the sword,Eddard Stark,House Stark,1,1,17/04/2011
48,Season 1,winter is coming,Is it true he saw the White Walkers?,Bran Stark,House Stark,1,1,17/04/2011
49,Season 1,winter is coming,The White Walkers have been gone for thousands of years,Eddard Stark,House Stark,1,1,17/04/2011
50,Season 1,winter is coming,So he was lying?,Bran Stark,House Stark,1,1,17/04/2011
51,Season 1,winter is coming,A madman sees what he sees,Eddard Stark,House Stark,1,1,17/04/2011
52,Season 1,winter is coming,What is it?,Jon Snow,House Stark,1,1,17/04/2011
53,Season 1,winter is coming,Mountain lion?,Theon Greyjoy,House Targaryen,1,1,17/04/2011
54,Season 1,winter is coming,There are no mountain lions in these woods,Eddard Stark,House Stark,1,1,17/04/2011
55,Season 1,winter is coming,It’s a freak,Theon Greyjoy,House Targaryen,1,1,17/04/2011
56,Season 1,winter is coming,It’s a direwolf,Eddard Stark,House Stark,1,1,17/04/2011
57,Season 1,winter is coming,Tough old beast,Eddard Stark,House Stark,1,1,17/04/2011
58,Season 1,winter is coming,There are no direwolves south of the Wall,Robb Stark,House Stark,1,1,17/04/2011
59,Season 1,winter is coming,Now there are five,Jon Snow,House Stark,1,1,17/04/2011
60,Season 1,winter is coming,You want to hold it?,Jon Snow,House Stark,1,1,17/04/2011
61,Season 1,winter is coming,Where will they go? Their mother’s dead,Bran Stark,House Stark,1,1,17/04/2011
63,Season 1,winter is coming,Better a quick death They won’t last without their mother,Eddard Stark,House Stark,1,1,17/04/2011
